ID,Value
12,The quick brown fox jumps over the lazy dog.
22,Today is a beautiful day with clear skies and a gentle breeze.
53,"The cat meowed loudly, demanding attention from its owner."
64,"In a distant land, a brave knight embarked on a perilous quest to rescue the captured princess."
665,"The aroma of freshly brewed coffee filled the air, awakening the senses of those nearby."
456,"Sarah's heart raced as she approached the stage, ready to give the performance of a lifetime."
7,"The ancient ruins stood as a testament to a bygone era, captivating the imagination of all who beheld them."
228,"The waves crashed against the shore, creating a soothing melody that echoed through the tranquil beach."
2349,"With each brushstroke, the artist brought the canvas to life, capturing the essence of a vibrant sunset."
12220,The laughter of children echoed through the park as they played joyfully on the swings and slides.